loan_amount,income,credit_score,interest_rate,employment_years,debt_to_income,default
20795,65784.90000703857,674.1626618969691,6.491133416765444,23,0.40299313513252866,0
5860,35020.729993013214,692.383579777282,5.025199453714907,14,0.2028852609771857,0
43158,50455.656814828784,739.088583215106,2.2904091890777503,15,0.22872099756121608,0
49732,46080.990600934194,750.509530611788,4.0534835658729325,27,0.5084010114947801,1
16284,62131.383684305176,686.9106617538866,4.7382459649616875,3,0.20454210147245042,0
11265,68620.51892498024,826.8115654763797,6.16850946754878,18,0.26707886292356564,0
21850,71132.29206564685,704.6201887888528,4.284376384124723,23,0.4321793458273222,1
42194,74982.24967167227,682.652227503255,4.590282170884446,28,0.3805561928540393,0
26962,80581.75269858557,773.7834719304775,5.811475733302951,24,0.3304351026169071,1
49131,69108.6818052511,598.0851735118863,5.732144002555756,7,0.5498705454898721,1
21023,88310.03848341623,724.0016847282677,4.862411621504338,5,0.20985523135752585,1
46090,61792.53781897023,696.3600803683352,4.545731859259682,15,0.4707099454314999,0
6685,57400.18268624178,772.409215993568,6.4089596954420305,29,0.17953192030909168,0
5769,69109.61045040059,730.2461679325096,4.537300024504073,2,0.40786691674107256,1
7433,56753.83237511117,706.9551084920829,3.2159209648019393,7,0.5353117817056566,0
10311,87788.47093162575,733.1316898773274,4.408399325901989,28,0.32895089273906897,0
42819,76964.75209702818,647.2208843939624,5.820225006259555,4,0.46214725359566444,1
44188,71254.17216299272,748.3409917239429,4.776064082385164,4,0.5101966764994941,0
22568,61971.290160620265,632.7707121493264,4.2458541164537,11,0.16801321243880138,0
24769,53887.842428777054,717.9248690407182,3.1177953483685896,24,0.452913447641055,1
33693,70519.8750685164,701.7807170543012,4.784095008276344,0,0.5599205119943381,0
11396,43093.53822229561,611.8472711814287,5.34186927477964,6,0.38818530492777215,1
32480,83015.4530016153,703.4471029048025,3.488923381441895,23,0.19306112226437802,0
46434,57335.449419219396,714.099337585315,4.71606929952834,10,0.1634712657944715,1
30658,64576.600998610935,667.2562013021104,3.359156537280672,9,0.22986766523337396,1
23942,46355.98385710067,649.3789000578696,4.806832548169862,2,0.1517566345083413,1
23431,70844.79394678833,724.6088701714199,7.58824304326656,7,0.35669703579252376,0
7747,53193.87580742507,718.1157500580405,5.257569911760158,0,0.1348523413533673,0
5189,69738.43185457647,711.3409544627021,2.627639952130937,7,0.21170231231811323,0
24118,71360.90203466084,700.4420886177442,5.496695417217012,22,0.31995522195610715,0
40773,50285.5182961719,671.6718491512202,6.967721274791189,19,0.33695737520101077,1
6899,43147.06318629008,813.6090726332384,2.9239152331402467,10,0.3826992425734822,0
6267,82978.49874816817,685.0834579875956,3.4317601740238666,6,0.4528074813753633,0
36551,57115.51448956377,656.7443318265608,5.387522716405947,25,0.12361431983273377,0
16394,63372.73224068458,702.7213637605067,4.869326821021499,29,0.14031047608789163,0
8556,67281.96786970113,690.9529476844441,6.816754055550062,26,0.13042957590239038,1
8890,41194.498051526694,683.9243595791755,4.729044420837235,15,0.31157515773245514,1
46606,66939.99205229832,793.7138045302993,6.238171248483855,6,0.12092397244146716,0
35740,61486.89804231956,643.5126090997696,7.292154894069485,12,0.47304063341566316,1
19502,50347.03953443413,701.8718534396853,3.698615973836975,9,0.21150009051923893,1
26777,42651.96022743406,646.8663487535744,6.121508412916778,28,0.5696062466449794,1
15627,69088.28321935904,672.9487614301986,4.398707851143368,27,0.3432018775485557,0
13792,76915.6801229232,786.8057974947516,2.0,16,0.32316287622110085,0
48323,62678.857760892046,714.0722527860946,5.714563756725825,2,0.49026934631975017,1
48021,38483.01987225469,713.4685297594192,5.89916155310413,6,0.4565769919464956,0
13433,44140.00774237905,653.0259385936073,2.6761359523566446,10,0.40365452047407147,1
48001,53518.144360139195,678.768922064161,4.319106176793457,12,0.567573353125185,1
16016,83469.29611741126,791.1560760779251,4.065492264502364,4,0.3111296304935385,0
28897,56298.74006851687,724.9681123218455,6.214981619146028,24,0.5042658378861432,0
